,address_line1,city,food_type,food_type1,location,number_of_reviews,restaurant_name,review_score
0,King Saud Road,Eastern_Province,", International, Vegan Options, Vegetarian Friendly", International,"King Saud Road, Al Khobar 31952 Saudi Arabia",101, Kempinski Al Othman Hotel,5.0
1,Prince Musaed Street Dughaither Leisure Island,Eastern_Province,", Seafood, International, Mediterranean", Seafood,"Prince Musaed Street Dughaither Leisure Island, Al Khobar Saudi Arabia",916, Al-Sanbok Seafood Restaurant,4.5
2,Prince Musaid Street,Eastern_Province,", Japanese, Sushi, Asian", Japanese,"Prince Musaid Street, 34425 Al Khobar, Al Khobar Saudi Arabia",59, Taki Restaurant,5.0
3,King Saud Road Kempinski Al Othman Hotel,Eastern_Province,"  , Italian, Pizza, Romana", Italian,"King Saud Road Kempinski Al Othman Hotel, Al Khobar 31952 Saudi Arabia",56, il Vero,5.0
4,Fouad Center _ Corniche Street,Eastern_Province,"  , American, Steakhouse, Vegetarian Friendly", American,"Fouad Center _ Corniche Street, Al Khobar Saudi Arabia",331, Outback Steakhouse,4.0
5,Al Shati 3rd St Al Danah Rd Fanateer Cornich,Eastern_Province,"  , Brazilian, Barbecue, Grill", Brazilian,"Al Shati 3rd St Al Danah Rd Fanateer Cornich, Block 3, Lot No.15, Al Jubail 35814 Saudi Arabia",116, Brasa De Brazil,4.5
6,Prince Turkey Road,Eastern_Province,"  , Italian, Pizza, European", Italian,"Prince Turkey Road, Al Khobar 31952 Saudi Arabia",355, Piatto Restaurant - Al Khobar,4.0
7,2/F Le Meridien Al Khobar,Eastern_Province,", Japanese, Sushi, Asian", Japanese,"2/F Le Meridien Al Khobar, Corniche Road, Al Khobar 31952 Saudi Arabia",119, Fusion Seafood & Sushi,4.5
8,King Abdullah Street Crowne Plaza,Eastern_Province,", Seafood, Mediterranean, European", Seafood,"King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia",194, Primavera Restaurant,4.5
9,Jubail Corniche,Eastern_Province,"  , American, Steakhouse, Vegetarian Friendly", American,"Jubail Corniche, Al Jubail 11373 Saudi Arabia",222, Steak House,4.0
10,Prince Musaed Street Cross 10,Eastern_Province,"  , Italian, Pizza, Mediterranean", Italian,"Prince Musaed Street Cross 10, Al Khobar 31952 Saudi Arabia",300, La Gondola Restaurant,4.0
11,Faisal Al Saud Street,Eastern_Province,"  , Seafood, International, Halal", Seafood,"Faisal Al Saud Street, Al Khobar 34422 Saudi Arabia",107, The Blue Restaurant,4.5
12,101 Street Al Sanaiyah,Eastern_Province,"  , Middle Eastern, International, Vegetarian Friendly", Middle Eastern,"101 Street Al Sanaiyah, Al Jubail 31961 Saudi Arabia",116, Al Tuwayah Buffet Restaurant,4.5
13,King Abdullah Street Crowne Plaza,Eastern_Province,"  , Moroccan, Mediterranean, Middle Eastern", Moroccan,"King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia",153, Marrakesh Restaurant,4.5
14,Prince Turkey Street,Eastern_Province,"  , Steakhouse, Barbecue, Halal", Steakhouse,"Prince Turkey Street, Al Khobar Saudi Arabia",93, The Butcher Shop and Grill,4.5
15,On the same side as the Tammimi Safeway Supermarkets down on the Corniche,Eastern_Province,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"On the same side as the Tammimi Safeway Supermarkets down on the Corniche, Dammam Saudi Arabia",192, Abu Nawas,4.0
16,Al Malik Khalid Street Al Ahsa Intercontinetal,Eastern_Province,", International, Mediterranean, Middle Eastern", International,"Al Malik Khalid Street Al Ahsa Intercontinetal, Al Ahsa 31982 Saudi Arabia",38, The Med,5.0
17,Prince Faisal Bin Fahd Road,Eastern_Province,"  , Seafood, Sushi, Asian", Seafood,"Prince Faisal Bin Fahd Road, Al Khobar 34433 Saudi Arabia",280, Soul Kitchen,4.0
18,Adanah Road,Eastern_Province,"  , Steakhouse, American, Vegetarian Friendly", Steakhouse,"Adanah Road,, Al Jubail Saudi Arabia",77, Outback Steakhouse Jubail,4.5
19,14th Street Al Khobar Corniche,Eastern_Province,", Pakistani, Indian, Asian", Pakistani,"14th Street Al Khobar Corniche, Al Khobar 34427 Saudi Arabia",315, Talwar - Indian Restaurant,4.5
20,Intercontinental Hotel,Eastern_Province,"  , Mexican, International, Vegetarian Friendly", Mexican,"Intercontinental Hotel, Al Jubail 101 St Al- Sinaiyah, Al Jubail 31961 Saudi Arabia",147, The Ranch Restaurant,4.5
21,Corniche Street,Eastern_Province,"  , Middle Eastern, Halal, Vegetarian Friendly", Middle Eastern,"Corniche Street, Dammam, Dammam Saudi Arabia",130, Heritage Village,4.0
22,King Fahd Rd Al Hizam Al Akhdar,Eastern_Province,"  , French, Cafe, European", French,"King Fahd Rd Al Hizam Al Akhdar, Al Khobar 34433 Saudi Arabia",149, Madeleine French Bakery & Brasserie,4.0
23,Sofitel,Eastern_Province,", International, Middle Eastern, Vegetarian Friendly", International,"Sofitel, Al Khobar Saudi Arabia",69, Cafe Chic Sofitel Al Khobar,4.5
24,Khobar Waterfront,Eastern_Province,"  , French, Cafe, European", French,"Khobar Waterfront, Prince Turki Corniche Rd Al Khobar, Ash Sharqiyah, Dhahran 34427 Saudi Arabia",96, Pattis France,4.5
25,Prince Faisal Bin Fahad Road Khobar North Al Khobar,Eastern_Province,"  , Lebanese, Fast Food, Mediterranean", Lebanese,"Prince Faisal Bin Fahad Road Khobar North Al Khobar, Dammam 34426 Saudi Arabia",107, Manoosha Alreef,4.0
26,Al Corniche,Eastern_Province,"  , Japanese, Seafood, Sushi", Japanese,"Al Corniche, Al Khobar Saudi Arabia",155, Fushi,4.0
27,King Khaled Street Intercontinental Hotel,Eastern_Province,"  , Lebanese, Middle Eastern, Mediterranean", Lebanese,"King Khaled Street Intercontinental Hotel, Al Ahsa Saudi Arabia",50, Al Bustan,4.5
28,Corniche Road Fanateer,Eastern_Province,"  , American, Vegetarian Friendly", American,"Corniche Road Fanateer, Al Jubail Saudi Arabia",103, Fuddruckers,4.0
29,Le Meridien Al Khobar,Eastern_Province,", Italian, Mediterranean, European", Italian,"Le Meridien Al Khobar, Al Khobar 31952 Saudi Arabia",44, Leonardo Restaurant,5.0
30,Corniche Road,Eastern_Province,"  , Brazilian, Barbecue, Halal", Brazilian,"Corniche Road, Dammam Saudi Arabia",88, Brasa de Brasil Churrascaria,4.0
31,King Faisal Road Ground Floor,Eastern_Province,"  , American, International, European", American,"King Faisal Road Ground Floor, Khobar Pavilion Mall, Al Khobar Saudi Arabia",21, The Breakfast Club,5.0
32,Al Yarmuk St,Eastern_Province,"  , Middle Eastern, Halal", Middle Eastern,"Al Yarmuk St, Al Khobar Saudi Arabia",143, Restaurant Khobar Traditional Village,4.0
33,Ibn Bassam Al Andalusi,Eastern_Province,"  , Fast Food, Deli, Grill", Fast Food,"Ibn Bassam Al Andalusi, Al Khobar 31952 Saudi Arabia",91, Quick Bites,4.5
34,Prince Homoud St. Cross 22,Eastern_Province,", Italian, Pizza, Fast Food", Italian,"Prince Homoud St. Cross 22, Al Khobar Saudi Arabia",142, Pizzarific,4.5
35,Mall of Dhahran Blvd Dhahran Mall,Eastern_Province,"  , Chinese, Asian, Thai", Chinese,"Mall of Dhahran Blvd Dhahran Mall, Al Khobar Saudi Arabia",113, Bamboo Kitchen,4.0
36,Al Shati 3rd St Al Danah Rd,Eastern_Province,"  , Chinese, Indian, Seafood", Chinese,"Al Shati 3rd St Al Danah Rd, Al Jubail Saudi Arabia",36, Taya Restaurant,5.0
37,Prince Mohammed Bin Fahd Street Yaqoot Intersection,Eastern_Province,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"Prince Mohammed Bin Fahd Street Yaqoot Intersection, Dammam Saudi Arabia",163, Beit Misk,4.0
38,First Street,Eastern_Province,"  , Lebanese, Middle Eastern, Mediterranean", Lebanese,"First Street, Dammam 5397 Saudi Arabia",57, Fayrouz Lebanese Restaurant,4.0
39,Al-Dhugaither leisure Island Corniche Al-Khober Open Buffet Per Head SR 160 for adults ,Eastern_Province,"  , Steakhouse, Brazilian, Barbecue", Steakhouse,"Al-Dhugaither leisure Island Corniche Al-Khober Open Buffet Per Head SR 160 for adults , SR 80 for Kids above 10 years kids under 5 are Free., Al Khobar Saudi Arabia",139, Brasa de Brazil,4.0
40,Dammam Saudi Arabia,Eastern_Province,", Lebanese, Fast Food, Mediterranean", Lebanese,Dammam Saudi Arabia,25, Hamra Chicken,5.0
41,1st Street King Fahad Street,Eastern_Province,"  , Chinese, Indian, Fusion", Chinese,"1st Street King Fahad Street, Al Khobar 31952 Saudi Arabia",73, Classic Restaurant,4.0
42,Prince Turky Road Fouad Centre,Eastern_Province,"  , Fast Food, American, Halal", Fast Food,"Prince Turky Road Fouad Centre, Al Khobar 31952 Saudi Arabia",178, BurgerFuel Fouad Center,4.0
43,Fanateer,Eastern_Province,", Middle Eastern, Lebanese, Vegetarian Friendly", Middle Eastern,"Fanateer, City Center AlKhamis RD, 35811, Al Jubail Saudi Arabia",68, Grillo,4.0
44,Huwalyat Center Al Huwaylat District,Eastern_Province,"  , American", American,"Huwalyat Center Al Huwaylat District, Al Jubail Saudi Arabia",107, Applebee's,3.5
45,King Saud Road,Eastern_Province,", International, Barbecue, Grill", International,"King Saud Road, Al Khobar 31952 Saudi Arabia",29, Al Diwan,4.5
46,Prince Turkey St,Eastern_Province,", Middle Eastern", Middle Eastern,"Prince Turkey St, Cornishe, Al Khobar 31952 Saudi Arabia",62, Le Cafe De Paris Le Meridien Alkhobar,4.0
47,Near Jubail City Center,Eastern_Province,"  , Indian, Asian, Vegetarian Friendly", Indian,"Near Jubail City Center, Al Jubail Saudi Arabia",73, CookXone,4.0
48,Rezayat Village Compound,Eastern_Province,"  , International, British", International,"Rezayat Village Compound, Al Khobar Saudi Arabia",54, Blue Strawberry Restaurant,4.0
49,Al Khobar Saudi Arabia,Eastern_Province,"  , American, Southwestern", American,Al Khobar Saudi Arabia,131, Chili's,4.0
50,Corniche Rd,Eastern_Province,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"Corniche Rd,, Al Khobar Saudi Arabia",46, Fayrouz Garden,4.0
51,Prince Mohammed Bin Fahd Rd,Eastern_Province,"  , Lebanese, Mediterranean, Barbecue", Lebanese,"Prince Mohammed Bin Fahd Rd, Dammam Saudi Arabia",87, Al Shahrour,4.0
52,King Faisal Street Al Khobar Business Gates,Eastern_Province,"  , Japanese, Sushi, Asian", Japanese,"King Faisal Street Al Khobar Business Gates, Al Khobar Saudi Arabia",61, Sushi Yoshi,4.0
53,Prince Naif Rd,Eastern_Province,", Seafood, Chinese, Japanese", Seafood,"Prince Naif Rd, Al Hofuf 36362, Al Ahsa Saudi Arabia",24, AlKeet Restaurant,4.5
54,Prince Faisal Bin Fahad Road,Eastern_Province,"  , American", American,"Prince Faisal Bin Fahad Road, Al Khobar Saudi Arabia",61, Parker's,4.0
55,King Saud Road,Eastern_Province,"  , International, Sushi, Cafe", International,"King Saud Road, Al Khobar 31952 Saudi Arabia",16, Sky Lounge,5.0
56,9th Street,Eastern_Province,"  , Chinese, Asian, Pakistani", Chinese,"9th Street, Prince Musaid Street 25th St, Prince Saad Rd, Al Khobar 31952 Saudi Arabia",110, Mughal,4.0
57,Intercontinental hotel,Eastern_Province,"  , Indian, Chinese, Asian", Indian,"Intercontinental hotel, Al Ahsa Saudi Arabia",24, Silk road,4.5
58,27th street intersection with Prince Saad Street,Eastern_Province,"  , Italian, European, Vegetarian Friendly", Italian,"27th street intersection with Prince Saad Street, Al Khobar Saudi Arabia",54, Oliveto,4.5
59,The Galleria Mall 2nd Floor Fanatir,Eastern_Province,"  , Italian, European, Pizza", Italian,"The Galleria Mall 2nd Floor Fanatir, Al Jubail 35811 Saudi Arabia",39, Piatto Restaurant - Galleria Mall,4.0
60,Prince Mansour Street,Eastern_Province,"  , Barbecue, Middle Eastern, Halal", Barbecue,"Prince Mansour Street, Al Khobar 34425 Saudi Arabia",31, Alennabi Grill,4.5
61,Prince Faisal Bin Fahd Road Pepsi Road,Eastern_Province,", Mexican, American, Southwestern", Mexican,"Prince Faisal Bin Fahd Road Pepsi Road, Al Khobar Saudi Arabia",39, Burrito Loco,4.5
62,Al Ashriah Street AL Shatti Mall,Eastern_Province,  ,Restaurants,"Al Ashriah Street AL Shatti Mall, Dammam Saudi Arabia",23, Balcony,4.5
63,King Abdullah Bin Abdulaziz Road,Eastern_Province,"  , Chinese, Indian, Asian", Chinese,"King Abdullah Bin Abdulaziz Road, Dammam Saudi Arabia",44, Oceana,4.0
64,Al Khobar Saudi Arabia,Eastern_Province,"  , Cafe, European, Vegetarian Friendly", Cafe,Al Khobar Saudi Arabia,29, Circle,4.0
65,Dhahran Mall,Eastern_Province,"  , Steakhouse, Australian, Vegetarian Friendly", Steakhouse,"Dhahran Mall, Dammam Saudi Arabia",48, Outback,4.0
66,Al Khobar - South Al Khobar Corniche - Corniche Towers.,Eastern_Province,"  , Chinese, Asian, International", Chinese,"Al Khobar - South Al Khobar Corniche - Corniche Towers., Al Khobar 34611 Saudi Arabia",35, Chinese Tandouri Restaurant,4.5
67,3946 King Salman Ibn Abdul Aziz Road,Eastern_Province,"  , Cafe, Vegetarian Friendly, Vegan Options", Cafe,"3946 King Salman Ibn Abdul Aziz Road, Al Khobar 344236094 Saudi Arabia",40, Cafe Bateel,4.0
68,Al Rashid Mall,Eastern_Province,"  , Chinese, Asian, Vegetarian Friendly", Chinese,"Al Rashid Mall, Al Khobar Saudi Arabia",103, Gulf Royal Chinese Restaurant,4.0
69,King Khaled Street 1411,Eastern_Province,"  , Chinese, Asian, Vegetarian Friendly", Chinese,"King Khaled Street 1411, Dammam 31431 Saudi Arabia",42, Red Dragon,4.5
70,Dhahran Mall,Eastern_Province,"  , Cafe, Vegetarian Friendly", Cafe,"Dhahran Mall, Al Khobar Saudi Arabia",56, Dip n Dip,4.0
71,King Salman Bin Abdulaziz Road,Eastern_Province,", Middle Eastern, Armenian, Eastern European", Middle Eastern,"King Salman Bin Abdulaziz Road, Al Khobar Saudi Arabia",27, Lusin,4.0
72,Riyadh Road Next to Krispy Kreme,Eastern_Province,", Italian, Pizza", Italian,"Riyadh Road Next to Krispy Kreme, Al Hofuf, Al Ahsa 36421 Saudi Arabia",31, Maestro Pizza,4.5
73,Al Malik Khalid Street InterContinental Al Ahsa,Eastern_Province,"  , Cafe", Cafe,"Al Malik Khalid Street InterContinental Al Ahsa, Al Ahsa 31982 Saudi Arabia",19, Al Maha Lounge,4.5
74,Al Bandariyah,Eastern_Province,", Steakhouse, Barbecue", Steakhouse,"Al Bandariyah,, Al Khobar Saudi Arabia",35, Lucca Steak House,4.0
75,Prince Turki Street Coordinates 26.28929,Eastern_Province,"  , American", American,"Prince Turki Street Coordinates 26.28929, 50.22102, Al Khobar 34414 Saudi Arabia",72, Friday's,4.0
76,7th Street,Eastern_Province,"  , Arabic", Arabic,"7th Street, Al Khobar Saudi Arabia",16, Shawerma Helil,4.5
77,Prince Humud Street,Eastern_Province,"  , Cafe, Vegetarian Friendly, Vegan Options", Cafe,"Prince Humud Street, Al Khobar Saudi Arabia",35, Vicoli Lounge,4.0
78,6504,Eastern_Province,"  , Indian, Vegetarian Friendly, Vegan Options", Indian,"6504,King Abdul Aziz Street Between Al Hugaet Tower and Sabb Bank, Al Khobar 31952 Saudi Arabia",105, Queen Of India,3.5
79,Prince Faisal Bin Fahad Street,Eastern_Province,"  , International, Mediterranean, Turkish", International,"Prince Faisal Bin Fahad Street, Al Khobar 34436 Saudi Arabia",81, Big Chefs,4.0
80,1st Street near Al Rahmaniya Center,Eastern_Province,"  , Asian, Thai, Vegetarian Friendly", Asian,"1st Street near Al Rahmaniya Center, Al Khobar 34429 Saudi Arabia",54, Phuket Restaurant,4.0
81,Bin bassam al andalusi street Al Bandarya area,Eastern_Province,"  , International, Vegetarian Friendly, Vegan Options", International,"Bin bassam al andalusi street Al Bandarya area, Al Khobar 31952 Saudi Arabia",37, Twist Restaurant,4.5
82,Abu Bakr Alsiddiq St Khwarizmi Road,Eastern_Province,", Fast Food, Middle Eastern, Vegan Options", Fast Food,"Abu Bakr Alsiddiq St Khwarizmi Road, Dammam Saudi Arabia",32, Vitamin Palace,4.0
83,King AbdulAziz street,Eastern_Province,"  , Seafood, Asian, Halal", Seafood,"King AbdulAziz street, Al Khobar Saudi Arabia",55, Banoosh Restaurant,4.0
84,Dhahran Main Road Jarir Plaza,Eastern_Province,"  , American, Vegetarian Friendly", American,"Dhahran Main Road Jarir Plaza, Dhahran Saudi Arabia",85, Applebee's Dhahran,3.5
85,8593-32242-3513 18th Street,Eastern_Province,"  , Indian, Asian, Vegetarian Friendly", Indian,"8593-32242-3513 18th Street, Dammam Saudi Arabia",49, Paragon Restaurant,4.0
86,Al Jubail Saudi Arabia,Eastern_Province,  ,Restaurants,Al Jubail Saudi Arabia,23, Tandoori House,4.5
87,Mashoor Street,Eastern_Province,"  , Indian, Asian, Diner", Indian,"Mashoor Street, Al Jubail 35513 Saudi Arabia",42, Grand Dunes Indo-Arab Family Restaurant,4.5
88,10th Street,Eastern_Province,"  , Chinese, Indian, Asian", Chinese,"10th Street, Dammam Saudi Arabia",57, Ghazi resturant,4.0
89,Prince Faisal Street,Eastern_Province,"  , Indian, Asian, Vegetarian Friendly", Indian,"Prince Faisal Street, Al Khobar Saudi Arabia",174, Copper Chandni,3.5
90,Prince Faisal Bin Fahad St Opposite to Parkers Resturaunt,Eastern_Province,"  , Barbecue", Barbecue,"Prince Faisal Bin Fahad St Opposite to Parkers Resturaunt, Al Khobar 34439 Saudi Arabia",23, Oak Smokehouse,4.5
91,Al Khalij Rd,Eastern_Province,"  , Indian, Asian, Arabic", Indian,"Al Khalij Rd, Al Hofuf, Al Ahsa 36362 Saudi Arabia",40, Bharat Indian Kitchen,4.0
92,22nd Street,Eastern_Province,"  , Italian, Pizza, Fast Food", Italian,"22nd Street, Al Khobar Saudi Arabia",22, Rolando's Pizzeria,4.5
93,Dhahran Boulevard,Eastern_Province,"  , Indian, Asian", Indian,"Dhahran Boulevard, Al Khobar Saudi Arabia",49, Tandoori Restaurant,4.0
94,Across the street from the Corniche,Eastern_Province,", Middle Eastern, Fast Food, Halal", Middle Eastern,"Across the street from the Corniche, Al Khobar Saudi Arabia",40, Shrinpy's,4.0
95,6188 King Faisal Road,Eastern_Province,"  , Seafood, Lebanese, Mediterranean", Seafood,"6188 King Faisal Road, Al Khobar 344233592 Saudi Arabia",43, Al Yacht Restaurant,4.0
96,Prince Turkey Street,Eastern_Province,"  , Turkish, Middle Eastern, Mediterranean", Turkish,"Prince Turkey Street, Al Khobar Saudi Arabia",40," Kosebasi, Al Khobar",4.0
97,Prince Faisal Bin Fahd Road Amwaj Mall,Eastern_Province,"  , American, Pizza, Fast Food", American,"Prince Faisal Bin Fahd Road Amwaj Mall, Al Khobar 34436 Saudi Arabia",40, Papa John's,4.0
98,Mall of Dhahran Blvd Dhahran Mall,Eastern_Province,"  , Cafe", Cafe,"Mall of Dhahran Blvd Dhahran Mall, Dhahran Saudi Arabia",19, Caffe Bene,4.5
99,7329 King Abdullah Road,Eastern_Province,", Egyptian, Arabic, Fast Food", Egyptian,"7329 King Abdullah Road, Al Hofuf, Al Ahsa 36364 Saudi Arabia",39, NOOBA Kushari,4.5
100,Prince Saud Bin Jalawi Road,Eastern_Province,"  , Turkish, Steakhouse, Barbecue", Turkish,"Prince Saud Bin Jalawi Road, Al Ahsa 36361 Saudi Arabia",15, HASA Steak & Grill,4.5
101,7826-36362-3097,Eastern_Province,"  , American, Central American, South American", American,"7826-36362-3097, Al Ahsa Saudi Arabia",38, Fridays,4.0
102,Prince Sultan Ibn Fahd Street,Eastern_Province,"  , Indian, Seafood, International", Indian,"Prince Sultan Ibn Fahd Street, Al Khobar Saudi Arabia",21, Bistro lounge,4.0
103,King Saud Street Near Mubarak Trade Centre,Eastern_Province,"  , Indian, Asian, Middle Eastern", Indian,"King Saud Street Near Mubarak Trade Centre, Al Ahsa Saudi Arabia",35, Saffron Island Restaurant,4.0
104,Prince Mohammed Bin Fahd Road,Eastern_Province,"  , Latin, International, European", Latin,"Prince Mohammed Bin Fahd Road, Dammam 32413 Saudi Arabia",19, Beach Park Restaurant,4.5
105,1st Street Sheraton Dammam,Eastern_Province,", Japanese, Asian, Chinese", Japanese,"1st Street Sheraton Dammam, Dammam 31422 Saudi Arabia",34, Asahi Pan-Asian Restaurant,4.0
106,Al Khobar Saudi Arabia,Eastern_Province,", Diner, Middle Eastern", Diner,Al Khobar Saudi Arabia,12, Shawatee Alkhaleej Restaurant,4.5
107,alkaleej Road,Eastern_Province,"  , Fast Food, Halal, Vegetarian Friendly", Fast Food,"alkaleej Road, Dammam Saudi Arabia",28, Spicy meal,4.0
108,4192 King Salman Street,Eastern_Province,", Italian, European, Vegetarian Friendly", Italian,"4192 King Salman Street, Al Khobar Saudi Arabia",59, Gusto,4.0
109,King Fahad Street,Eastern_Province,"  , Chinese, Asian, Seafood", Chinese,"King Fahad Street, Al Jubail 31961 Saudi Arabia",20, The Great Wall Chinese Restaurant,4.0
110,Abdullah Ibn Al Abbas Street,Eastern_Province,", Middle Eastern, Mediterranean, Halal", Middle Eastern,"Abdullah Ibn Al Abbas Street, Dhahran 34452 Saudi Arabia",32, Mozon,4.0
111,7979,Eastern_Province,", American, African, Barbecue", American,"7979, Feras Bin Al Nadher Street Al Ulaya District, Al Khobar 34445 Saudi Arabia",13, The Hussar Grill,4.5
